ID,Song Title,Year,Singer,Composer,Lyricist,Arranger,Producer,
C1002,破相,2010,容祖兒 Joey Yung,陳輝陽 Keith Chan,黃偉文 Wyman Wong,陳輝陽 Keith Chan,陳輝陽 Keith Chan,
C1003,陀飛輪,2010,陳奕迅 Eason Chan,Vincent Chow,黃偉文 Wyman Wong,Gary Tong,Alvin Leong,
C1004,SimpleLoveSong,2010,RubberBand,阿正 Bonnie Wong,Tim Lui,RubberBand,"雷頌德 Mark Lui, RubberBand",
C1005,天梯,2010,C AllStar,賴映彤 Edwina Lai,鍾晴 Wendy Chung,"Adrian Chan, 賴映彤 Edwina Lai",簡 Alan Kan,
C1101,末日,2011,王菀之 Ivana Wong,王菀之 Ivana Wong,黃偉文 Wyman Wong,馮翰銘 Alex Fung,馮翰銘 Alex Fung,
C1102,牆紙,2011,容祖兒 Joey Yung,方大同 Khalil Fong,黃偉文 Wyman Wong,"Edward Chan, 李一丁 Yat Ding Lee","Edward Chan, Charles Lee",
C1103,年年,2011,蔡卓妍 Charlene Choi,Eric Kwok,林若寧 Riley Lam,Eric Kwok,Eric Kwok,
C1104,戀上外星人,2011,張智霖 Julian Cheung,Kim Bo Min,火火 Fire Lee,黃丹儀 Dennie Wong,"伍樂城 Ronald Ng, 黃丹儀 Dennie Wong",
C1105,花千樹,2011,容祖兒 Joey Yung,"Mattew Tisher, Andrew Ang",黃偉文 Wyman Wong,何秉舜 Harris Ho,舒文 Schumann Lee,
C1201,留白,2012,王菀之 Ivana Wong,常石磊 Shilei Chang,林夕 Lin Xi,"馮翰銘 Alex Fung, 常石磊 Shilei Chang",馮翰銘 Alex Fung,
C1202,戀無可戀,2012,古巨基 Leo Ku,方皓玟 Chaimaine Fong,林夕 Lin Xi,Johnny Yim,"舒文 Schumann Lee, 古巨基 Leo Ku",
C1203,昨天,2012,Mr.,Mr.,"劉卓輝 Gene Lau, Mr.",Mr.,舒文 Schumann Lee,
C1204,白頭到老,2012,蔡卓妍 Charlene Choi,Eric Kwok,林若寧 Riley Lam,Eric Kwok,Eric Kwok,
C1205,重新長大,2012,許廷鏗 Alfred Hui,伍樂城 Ronald Ng,"許廷鏗 Alfred Hui, Kennedy 7, 曾紀諾 Brian Tsang",朱俊傑 Dominic Chu,伍樂城 Ronald Ng,
